Code,Year,NOx,SO2,CO,BC,NH3,NMVOC,Air pollution emissions
AFG,2001,89847.12,3425.623,325036.03,7492.722,110894.17,103809.27,640504.935
AFG,2002,86248.336,2991.4312,281542.25,7725.579,122057.336,97832.3,598397.2322000001
AFG,2003,89143.44,4470.4985,305276.6,7897.691,124121.63,111274.3,642184.1595000001
AFG,2004,95600.055,5046.1567,315215.72,8061.5874,126759.77,111553.664,662236.9530999999
AFG,2005,108260.58,6244.7354,339300.84,8180.24,129380.51,119502.29,710869.1954000001
AFG,2006,124136.01,7121.6514,356311.72,8379.746,132955.0,125078.875,753983.0023999999
AFG,2007,131807.72,7938.491,443903.47,8489.503,127636.51,142979.2,862754.8940000001
AFG,2008,144581.97,11494.135,468303.22,9057.268,139248.5,151355.5,924040.593
AFG,2009,214561.31,18800.117,654537.25,9900.709,142968.16,189208.25,1229975.796
AFG,2010,270985.3,21654.113,817373.44,10427.37,147022.72,227614.0,1495076.943
AFG,2011,306547.5,25825.701,986082.2,11102.213,152588.25,267221.4,1749367.264
AFG,2012,306655.4,26741.297,987310.4,11225.287,157442.83,263755.56,1753130.7740000002
AFG,2013,294521.3,26122.514,982847.8,11931.156,162250.62,267044.3,1744717.6900000002
AFG,2014,280556.6,28899.38,900423.5,12180.138,166939.7,247106.97,1636106.288
AFG,2015,334356.25,32022.324,1093878.8,12157.717,171815.27,295472.44,1939702.801
AFG,2016,317749.28,35261.19,955448.4,12214.242,176043.05,261870.33,1758586.4920000003
AFG,2017,349547.3,34491.035,982104.6,12351.952,180250.92,272016.28,1830762.087
AFG,2018,349638.44,34989.33,1059901.4,12611.132,184283.47,293526.25,1934950.0219999999
AFG,2019,375281.0,35689.973,1104277.8,12890.772,188264.98,304892.7,2021297.225
AFG,2020,387048.1,31505.04,1113043.9,12815.464,192214.23,310868.22,2047494.9539999997
,2001,4874040.0,5010956.0,60483500.0,841887.0,5383809.5,16286004.0,92880196.5
,2002,5020045.5,5104700.0,60824200.0,864983.25,5487808.0,16605413.0,93907149.75
,2003,5127259.0,4977169.0,61441668.0,893300.1,5629926.5,17206616.0,95275938.6
,2004,5392335.0,5456901.5,63172636.0,933430.06,5813275.5,18247130.0,99015708.06
,2005,5481082.5,5225554.0,64735692.0,950879.9,5925293.0,18971952.0,101290453.4
,2006,5613026.0,5351707.0,65427336.0,977718.6,6075550.0,19092564.0,102537901.6
,2007,5788404.0,5369978.0,66446388.0,994892.2,6257328.0,19542634.0,104399624.2
,2008,6077942.0,5699890.0,68178160.0,1028108.56,6443346.5,20039372.0,107466819.06
,2009,6074074.5,5553770.5,69022230.0,1049938.9,6584609.0,20176830.0,108461452.9
,2010,6506855.0,6020852.0,70596630.0,1050067.5,6850701.0,20647124.0,111672229.5
,2011,6471683.0,5795268.5,72470780.0,1057049.6,6969817.5,20887248.0,113651846.6
,2012,6786241.0,6010487.0,75924690.0,1098190.2,7227621.0,22306088.0,119353317.2
,2013,7163145.0,6113662.5,77942936.0,1128559.0,7467063.0,22602668.0,122418033.5
,2014,7412760.0,6104759.5,79521990.0,1148139.1,7585056.0,22777444.0,124550148.6
,2015,7391355.0,5527532.5,80212640.0,1152592.5,7730161.5,23039792.0,125054073.5
,2016,7540319.5,5553397.5,81899780.0,1162463.4,7983127.5,23527984.0,127667071.9
,2017,7523217.0,5377227.5,83599260.0,1195265.5,8172889.0,23876538.0,129744397.0
,2018,7589137.0,5294089.0,83173070.0,1182556.9,8209882.0,23904240.0,129352974.9
,2019,7617254.0,5306023.0,83650080.0,1186610.4,8386067.0,24117872.0,130263906.4
,2020,7059201.0,4701477.5,85180470.0,1159522.5,8565615.0,24691400.0,131357686.0
ALB,2001,26705.508,23434.848,85556.516,1509.1064,35808.473,31879.727,204894.17839999998
ALB,2002,29358.023,29775.934,102121.6,1456.3804,38085.785,34012.08,234809.8024
ALB,2003,29734.934,26316.996,87617.8,1632.4377,35910.754,33758.473,214971.3947
ALB,2004,31640.0,24876.975,97782.06,1621.7336,39382.887,34605.21,229908.8656
ALB,2005,30434.232,21304.975,96969.625,1627.4424,35042.344,34821.09,220199.70839999997
ALB,2006,28783.727,21404.535,92464.13,1558.9912,35943.28,33749.766,213904.42919999998
ALB,2007,26107.941,17182.059,79649.15,1511.499,34635.35,31544.707,190630.70599999998
ALB,2008,27169.674,14296.027,64793.234,1670.0057,32489.389,28418.44,168836.7697
ALB,2009,25823.291,11781.395,70376.92,1674.197,33062.074,29579.758,172297.635
ALB,2010,24772.658,12861.505,71524.68,1582.7708,32586.783,30305.924,173634.3208
ALB,2011,26820.467,12346.842,70935.37,1585.3364,33603.094,30758.566,176049.6754
ALB,2012,23662.293,9660.22,65371.082,1434.3982,35928.734,29646.514,165703.2412
ALB,2013,24958.121,8917.382,65957.234,1436.3882,33412.36,30102.363,164783.8482
ALB,2014,26912.32,9418.739,65345.188,1390.4177,36052.7,31363.488,170482.85270000002
ALB,2015,24627.564,5821.515,62864.875,1321.318,36803.863,30075.037,161514.17200000002
ALB,2016,23573.666,5809.815,57204.613,1207.2389,36166.797,29459.117,153421.2469
ALB,2017,24401.49,8425.558,54096.836,1113.48,34742.094,28131.459,150910.917
ALB,2018,23193.39,8450.119,57792.35,1021.38354,34426.688,28064.697,152948.62754000002
ALB,2019,21825.861,7546.9062,50149.973,922.3442,34508.32,27171.732,142125.1364
ALB,2020,17623.746,7448.4956,45190.3,708.98956,34548.26,25613.26,131133.05116
DZA,2001,235869.1,82103.03,1113009.2,47017.227,83056.59,978008.7,2539063.847
DZA,2002,265009.94,107542.54,1160482.1,48535.777,83474.02,958429.44,2623473.817
DZA,2003,265502.62,98429.086,1165002.9,48995.098,85166.05,1001210.0,2664305.7539999997
DZA,2004,280846.9,105288.94,1198081.6,49388.723,88460.65,1052412.0,2774478.813
DZA,2005,290063.5,105194.836,1200248.0,49878.008,87198.79,1074667.5,2807250.634
DZA,2006,321620.84,109422.266,1073202.4,51992.58,86729.66,980390.3,2623358.046
DZA,2007,351653.28,114596.46,1119554.5,57032.47,85983.195,989158.94,2717978.8449999997
DZA,2008,361558.88,71872.2,1173064.8,58907.797,84149.29,1000623.44,2750176.407
DZA,2009,395825.0,77176.03,1123182.9,62748.227,89947.81,940940.2,2689820.167
DZA,2010,414087.44,77792.2,1163427.6,61984.438,97546.35,937512.2,2752350.228
DZA,2011,437090.7,79629.57,1233570.1,60684.105,99020.55,957480.9,2867475.9250000003
DZA,2012,483446.2,70058.95,1381973.2,72558.08,104563.04,977463.3,3090062.7700000005
DZA,2013,495643.47,57356.223,1449979.2,74816.4,100086.484,985230.75,3163112.527
DZA,2014,538888.44,58240.438,1469525.2,77291.734,113724.984,1013336.9,3271007.696
DZA,2015,574845.2,62275.617,1541344.2,80184.55,124341.44,1029601.2,3412592.2069999995
DZA,2016,555594.1,55965.76,1426106.2,77299.59,119881.78,1004883.25,3239730.6799999997
DZA,2017,550690.9,51737.93,1384615.2,76986.53,118545.3,974526.6,3157102.46
DZA,2018,564605.1,53879.945,1343419.2,77281.73,112774.99,958685.3,3110646.2649999997
DZA,2019,578388.06,65058.477,1401052.5,77870.92,114563.46,954465.7,3191399.1169999996
DZA,2020,530790.9,53061.164,1414424.8,72966.17,116007.57,907297.56,3094548.164
ASM,2001,801.31903,3085.162,1897.2272,16.507837,187.01894,290.88974,6278.124747
ASM,2002,583.3717,899.75433,1745.6836,12.802732,184.69928,261.96524,3688.2768819999997
ASM,2003,651.4268,1182.7972,1634.7542,12.85351,185.86743,241.28069,3908.9798299999998
ASM,2004,640.24963,1243.2739,1497.2177,12.597054,185.91307,216.00385,3795.2552039999996
ASM,2005,634.5649,1240.8729,1373.5446,12.910043,185.61963,192.30533,3639.817403
ASM,2006,635.50104,1273.2261,1319.4163,13.185001,185.47893,187.04489,3613.852261
ASM,2007,613.9741,1295.6132,1260.1237,12.964521,184.26619,180.05772,3546.9994309999997
ASM,2008,596.6506,1270.5387,1167.2747,12.919373,182.42924,169.98843,3399.801043
ASM,2009,563.93756,1240.5536,1134.6533,12.819921,181.01312,166.6349,3299.612401
ASM,2010,524.0374,1146.0933,1060.5663,12.884849,179.74246,158.81718,3082.141489
ASM,2011,358.47498,833.1862,759.0743,8.794876,177.558,118.4605,2255.5488560000003
ASM,2012,399.17706,876.92426,755.79736,9.224419,177.84106,117.10541,2336.0695690000002
ASM,2013,397.33566,868.69836,729.118,9.010881,178.06664,113.526024,2295.7555649999995
ASM,2014,396.3522,868.24414,731.10754,8.544737,178.5747,116.92563,2299.748947
ASM,2015,388.71725,866.43744,732.0342,8.512931,178.81633,116.92375,2291.441901
ASM,2016,384.64008,857.8311,716.6059,8.4948225,179.08531,114.973404,2261.6306165
ASM,2017,243.93567,484.10483,668.4236,8.489479,177.798,109.53045,1692.282029
ASM,2018,235.98807,478.02182,657.05,8.579724,178.09373,107.73168,1665.465024
ASM,2019,231.12578,460.91174,654.6403,8.611928,178.31187,106.89138,1640.492998
ASM,2020,205.17642,438.91525,563.39716,7.792565,178.15298,95.49219,1488.926565
AGO,2001,46224.49,16253.311,1134247.0,17293.848,92603.44,461074.62,1767696.7089999998
AGO,2002,49184.844,16593.084,1149778.9,18133.44,94680.69,504581.12,1832952.0779999997
AGO,2003,55776.14,22257.469,1152994.6,18243.469,96194.68,509146.3,1854612.658
AGO,2004,59082.46,18555.475,1192746.8,18111.66,97916.9,548704.06,1935117.355
AGO,2005,51714.914,14884.2295,1179737.9,18008.32,101484.01,606415.3,1972244.6735
AGO,2006,60655.957,20084.3,1203435.2,19707.613,105041.43,651936.7,2060861.1999999997
AGO,2007,68036.04,25069.682,1234239.6,20585.438,108764.8,723314.75,2180010.3100000005
AGO,2008,83655.57,30525.498,1277012.2,22034.303,112695.41,778547.75,2304470.7309999997
AGO,2009,101762.266,42059.855,1317652.6,23394.492,116731.945,769465.94,2371067.098
AGO,2010,112668.555,44768.836,1357526.9,23962.074,121370.805,770551.9,2430849.07
AGO,2011,121036.53,45760.945,1393529.1,24487.205,125693.84,750474.2,2460981.8200000003
AGO,2012,132983.52,48077.9,1408995.9,24076.387,130380.97,776639.4,2521154.077
AGO,2013,152192.88,66974.734,1419003.2,26742.959,135589.53,785474.2,2585977.503
AGO,2014,177036.23,81075.3,1460614.5,27675.568,140974.7,786060.4,2673436.698
AGO,2015,178441.78,77563.305,1473276.4,28084.586,144799.75,814700.6,2716866.4209999996
AGO,2016,171773.98,77531.305,1476996.1,26800.742,147417.22,800945.8,2701465.147
AGO,2017,150465.47,67070.734,1465332.1,25295.195,150545.97,772900.56,2631610.029
AGO,2018,140294.23,61527.4,1474353.4,25469.852,152059.98,768220.1,2621924.962
AGO,2019,160210.25,71175.23,1510427.8,27018.256,156575.23,781237.0,2706643.766
AGO,2020,96213.805,49642.01,1499728.2,21874.512,160778.11,783607.94,2611844.577
ATG,2001,4261.526,2245.677,6249.9077,22.669855,420.5407,1337.0513,14537.372554999998
ATG,2002,4423.812,609.1318,5572.1973,20.276209,426.9723,1276.3278,12328.717409
ATG,2003,5485.015,693.2061,6440.517,20.43506,438.13605,1375.704,14453.01321
ATG,2004,5809.1777,734.02057,7050.776,20.247395,446.5588,1379.2285,15440.008964999999
ATG,2005,5805.0913,735.5966,7160.629,20.318245,449.8208,1391.4836,15562.939545
ATG,2006,5770.0825,749.587,6112.3384,21.206882,458.02322,1327.0369,14438.274902000001
ATG,2007,6018.7646,872.6876,6026.231,22.106903,421.9713,1319.3914,14681.152802999999
ATG,2008,6272.4194,946.6473,6080.6904,23.055193,427.23087,1331.2827,15081.325862999998
ATG,2009,7092.594,1033.8374,7207.5176,24.290947,430.1304,1495.1484,17283.518747000002
ATG,2010,7473.0415,992.28674,6734.064,25.011705,364.17258,1498.1389,17086.715425000002
ATG,2011,6668.623,584.61395,7734.486,17.624092,375.47934,1664.8313,17045.657682
ATG,2012,7135.65,671.2772,7395.926,18.650587,378.72995,1649.1608,17249.394537000004
ATG,2013,7241.0864,662.49274,7763.289,18.2042,379.03687,1707.3494,17771.458609999998
ATG,2014,7108.425,635.0814,7618.338,17.720863,382.2892,1736.439,17498.293462999998
ATG,2015,7267.5215,654.9674,7781.785,17.766933,383.47372,1732.1578,17837.672353
ATG,2016,7139.1387,650.0993,7506.73,17.591051,387.3784,1692.3793,17393.316751
ATG,2017,6946.158,676.8558,7378.402,17.794056,391.35065,1677.6143,17088.174806000003
ATG,2018,7065.9746,668.335,7421.498,17.893856,390.38937,1685.4152,17249.506026000003
ATG,2019,6939.915,644.7056,7420.533,17.960623,393.751,1681.8142,17098.679423
ATG,2020,6322.7173,613.5212,6357.422,16.320684,392.43042,1511.2018,15213.613404000002
ARG,2001,756738.8,126648.2,687682.44,25929.568,488939.28,336897.3,2422835.588
ARG,2002,726771.56,115938.02,664125.7,25317.15,486310.53,279481.47,2297944.4299999997
ARG,2003,790302.0,119459.9,667272.6,27518.748,514825.72,294073.78,2413452.7479999997
ARG,2004,878255.5,147344.98,681469.9,28557.559,549532.56,313559.06,2598719.559
ARG,2005,909841.1,162370.27,736200.06,29145.67,514515.44,334562.28,2686634.8200000003
ARG,2006,956054.2,129326.89,709132.06,29944.443,552243.25,345190.53,2721891.3729999997
ARG,2007,1058770.9,146576.42,748725.94,32377.092,569578.5,355853.03,2911881.882
ARG,2008,1050946.6,157983.5,817473.9,32251.701,508024.22,338682.6,2905362.521
ARG,2009,976092.8,134702.36,786910.5,29682.324,486446.22,341872.53,2755706.734
ARG,2010,1097370.2,156124.62,811214.75,31444.873,508669.16,345382.16,2950205.763
ARG,2011,1153719.6,167015.34,834530.94,31892.102,530429.25,352476.6,3070063.832
ARG,2012,1153357.0,166201.89,836242.75,29530.389,514629.22,338126.84,3038088.0889999997
ARG,2013,1200363.5,155317.42,851703.1,32357.936,534081.4,350436.88,3124260.236
ARG,2014,1166582.9,158943.66,874527.44,30064.47,558643.8,346733.38,3135495.6500000004
ARG,2015,1197617.9,165814.02,874321.0,30265.504,536894.9,345212.1,3150125.424
ARG,2016,1213198.9,160679.38,866486.44,29228.002,611164.06,332558.06,3213314.8419999997
ARG,2017,1167312.0,132200.02,854230.5,29828.3,612311.1,372295.34,3168177.26
ARG,2018,1148009.5,117330.22,859168.44,29253.314,653467.06,434098.84,3241327.374
ARG,2019,1118715.4,105347.39,856097.6,29333.639,659201.5,417349.8,3186045.3289999994
ARG,2020,1019711.25,108069.484,761305.2,25659.574,664496.94,373628.47,2952870.9179999996
ARM,2001,12017.552,16340.099,20819.441,429.31982,14585.108,23876.027,88067.54681999999
ARM,2002,10808.307,24534.107,21894.795,431.04153,14972.034,23971.242,96611.52653
ARM,2003,11559.2295,27424.828,24068.85,441.96603,15177.579,24660.7,103333.15253
ARM,2004,11957.023,27245.41,23130.43,454.15784,16485.469,24714.984,103987.47383999999
ARM,2005,12693.48,34453.176,22936.344,454.37653,16294.484,24596.771,111428.63152999998
ARM,2006,12089.837,31537.742,23900.732,470.3459,15733.373,24637.213,108369.2429
ARM,2007,15860.992,26828.959,25274.58,495.6009,15819.654,25342.246,109622.0319
ARM,2008,16615.809,26166.176,27515.727,514.8661,15427.701,25710.705,111950.9841
ARM,2009,14471.114,26907.064,24786.883,510.86032,14697.792,24724.51,106098.22332
ARM,2010,13547.742,28958.236,25569.877,506.6352,14504.11,24601.736,107688.33620000002
ARM,2011,14306.096,33343.633,24682.576,508.50095,14260.725,24243.555,111345.08595000001
ARM,2012,16064.351,37178.543,24638.963,506.2706,15243.853,24741.86,118373.84060000001
ARM,2013,16212.272,39404.797,23727.316,512.79126,16522.932,25258.178,121638.28626000001
ARM,2014,18066.578,36863.4,27349.432,519.13403,16979.83,25400.973,125179.34703
ARM,2015,17582.367,43204.184,22856.219,707.8444,17183.135,25220.318,126754.0674
ARM,2016,17485.93,46448.785,22423.14,731.6182,17541.334,24954.691,129585.4982
ARM,2017,17315.646,43891.273,27040.297,571.2992,16794.727,24545.379,130158.6212
ARM,2018,22523.482,36568.332,26594.34,676.7266,16092.857,24558.77,127014.5076
ARM,2019,22443.816,34912.395,24626.555,615.337,16062.758,24104.984,122765.845
ARM,2020,23750.412,34356.598,28354.797,471.90042,16087.354,24213.453,127234.51442000002
ABW,2001,4826.3076,318331.6,11762.05,93.53221,255.46114,6219.2285,341488.17945
ABW,2002,4541.2886,306952.78,9877.541,74.078636,259.1772,6966.488,328671.353436
ABW,2003,5388.024,307283.53,11766.831,71.70492,271.4063,6652.97,331434.46621999994
ABW,2004,5823.383,307339.9,13056.241,67.77308,277.97702,6123.0454,332688.3195
ABW,2005,6062.1606,349748.25,14126.701,70.92447,282.70648,6296.6475,376587.39005000005
ABW,2006,5521.4336,291277.3,11338.089,73.91757,295.4116,4931.475,313437.6267699999
ABW,2007,5459.207,281254.78,10901.126,75.457146,294.67325,4651.989,302637.232396
ABW,2008,5081.5903,272723.47,10038.546,78.3687,290.2318,4522.4062,292734.61299999995
ABW,2009,5608.937,196098.64,11330.141,80.02305,294.28513,5447.457,218859.48318
ABW,2010,5663.3193,34444.73,9391.415,78.59564,285.95758,2563.8955,52427.91302000001
ABW,2011,4517.638,325759.03,8687.921,49.154224,277.8418,3528.252,342819.83702399995
ABW,2012,6149.2344,103970.12,9891.8,53.519688,292.5559,2416.7117,122773.941688
ABW,2013,6126.307,70289.0,10023.112,52.10823,295.8692,2439.0176,89225.41403
ABW,2014,6107.161,64042.523,9697.416,50.912937,296.53998,2468.7297,82663.282617
ABW,2015,6232.6294,62092.293,9869.458,50.61511,300.2163,2452.772,80997.98380999999
ABW,2016,6194.6494,26523.941,9548.756,49.85563,300.21237,2397.0815,45014.4959
ABW,2017,6264.1074,39495.52,9459.151,49.489777,302.87308,2384.0159,57955.157156999994
ABW,2018,6272.4507,24544.742,9459.136,49.714806,303.93848,2383.3335,43013.315486
ABW,2019,6305.965,24432.443,9495.662,49.773228,303.8494,2379.1191,42966.811728
ABW,2020,5687.243,24336.723,8012.5674,44.014328,297.51447,2119.9258,40497.987998
,2001,40846910.0,46687536.0,318292670.0,3265545.5,27315314.0,62095260.0,498503235.5
,2002,42246412.0,48321556.0,317131330.0,3290548.5,27960960.0,62693060.0,501643866.5
,2003,45043120.0,52108396.0,327400420.0,3362462.0,28215002.0,64268580.0,520397980.0
,2004,48643750.0,57736010.0,337293120.0,3489445.8,28823772.0,66442136.0,542428233.8
,2005,50997536.0,63851024.0,345156600.0,3585809.8,29409424.0,67861880.0,560862273.8
,2006,53577804.0,66214944.0,349732160.0,3634567.5,30351350.0,68577430.0,572088255.5
,2007,56176064.0,66357756.0,349929020.0,3662403.5,30855372.0,68859730.0,575840345.5
,2008,57148108.0,64262944.0,342581000.0,3698836.5,31299244.0,69268184.0,568258316.5
,2009,57659360.0,61559052.0,344439260.0,3717265.5,31604702.0,69555310.0,568534949.5
,2010,58318064.0,59774468.0,344827900.0,3783184.8,31863902.0,71759900.0,570327418.8
,2011,61537012.0,61580730.0,341533340.0,3762485.0,32433252.0,73033420.0,573880239.0
,2012,63413970.0,61293110.0,339802400.0,3823139.8,32937096.0,74628264.0,575897979.8
,2013,62357000.0,58398544.0,337325630.0,3713953.8,33122742.0,75059130.0,569976999.8
,2014,60933584.0,54852416.0,325399400.0,3597997.8,33264898.0,76099440.0,554147735.8
,2015,59756636.0,51655420.0,314660400.0,3437545.5,33400718.0,75839660.0,538750379.5
,2016,58612588.0,49142984.0,300319520.0,3327953.5,33675856.0,76060296.0,521139197.5
,2017,58829676.0,47552176.0,293779520.0,3327256.8,33857156.0,76255370.0,513601154.8
,2018,58588740.0,46661930.0,285817440.0,3254005.0,34136470.0,75706820.0,504165405.0
,2019,57130772.0,45841180.0,276606180.0,3146965.8,34407700.0,74613270.0,491746067.8
,2020,54655190.0,43691604.0,267337580.0,3055621.8,34568016.0,72549336.0,475857347.8
AUS,2001,1387245.6,1374826.2,3890960.2,22954.535,584124.44,1052985.0,8313095.975
AUS,2002,1375774.0,1355436.2,4045727.2,23663.451,590937.94,1033972.6,8425511.391
AUS,2003,1339389.0,1312793.9,3814533.0,24325.96,556418.7,967202.06,8014662.620000001
AUS,2004,1317633.1,1331784.4,3662642.0,23845.646,589351.06,910765.1,7836021.306
AUS,2005,1327602.5,1328499.5,3324753.0,24295.154,572337.7,845053.2,7422541.0540000005
AUS,2006,1295108.9,1350315.2,3195407.2,23926.701,550256.2,835041.2,7250055.401000001
AUS,2007,1300795.9,1313628.2,3063476.0,24680.42,531482.56,840019.7,7074082.78
AUS,2008,1281458.8,1399311.9,2945988.0,25574.684,513125.75,821762.5,6987221.634000001
AUS,2009,1249600.8,1360199.1,2502739.5,24792.225,518087.8,812418.1,6467837.524999999
AUS,2010,1233038.9,1236903.0,2295671.8,24959.1,528263.7,823947.7,6142784.199999999
AUS,2011,1194452.4,1280265.1,2255834.5,24522.773,567017.06,809523.5,6131615.333000001
AUS,2012,1184418.4,1265195.8,2121620.0,25667.309,588352.75,811720.6,5996974.859
AUS,2013,1169752.1,1268446.9,2096802.9,26207.355,642299.1,824788.06,6028296.415000001
AUS,2014,1158110.2,1302963.8,1989082.9,26201.617,647920.8,836164.1,5960443.416999999
AUS,2015,1151390.2,1198413.5,1920584.6,25689.002,623296.1,836193.0,5755566.402000001
AUS,2016,1122704.0,1060089.1,1885964.0,25550.338,644387.9,818816.25,5557511.588
AUS,2017,1112851.2,982894.9,1877317.5,26114.455,665638.4,815113.5,5479929.955
AUS,2018,1132866.1,1038345.1,1796256.6,26939.113,603980.44,817865.8,5416253.153
AUS,2019,1086247.8,1086488.5,1772821.8,26262.668,611744.94,814039.75,5397605.458
AUS,2020,1026574.44,933104.7,1622494.5,25331.959,618220.25,803253.56,5028979.409
AUT,2001,216710.61,32308.258,700429.3,6724.4775,70223.82,161776.03,1188172.4955000002
AUT,2002,223321.97,31192.568,667017.06,6587.262,68059.68,157155.53,1153334.07
AUT,2003,235156.33,30964.227,668587.75,7012.0615,67258.664,153404.1,1162383.1325
AUT,2004,237612.3,26474.117,650162.0,7152.1523,68005.65,140159.16,1129565.3793
AUT,2005,242809.73,25810.254,626930.4,7180.7124,68148.51,144279.53,1115159.1364
AUT,2006,232846.16,26580.291,627266.7,7143.717,68854.164,146569.16,1109260.1919999998
AUT,2007,225216.53,23249.12,604949.7,6933.149,69863.66,142711.06,1072923.219
AUT,2008,212499.33,20179.568,586550.9,6685.142,67850.2,137770.05,1031535.19
AUT,2009,198677.9,14675.498,564923.0,6386.2764,68569.83,125195.35,978427.8544
AUT,2010,199627.7,15910.718,583271.1,6431.7134,70186.09,125836.945,1001264.2663999998
AUT,2011,191141.08,15099.135,564327.75,6033.069,69691.82,121204.336,967497.1900000001
AUT,2012,186123.02,14719.016,566691.56,5844.8115,69457.85,119189.19,962025.4475
AUT,2013,186302.17,14281.959,570995.3,5348.34,71044.08,113465.21,961437.0589999999
AUT,2014,179333.9,14452.675,535677.75,4859.5283,72077.25,106879.32,913280.4232999999
AUT,2015,176389.45,14020.709,546350.94,4790.904,72591.53,102060.12,916203.6529999999
AUT,2016,168504.8,13199.877,541602.7,4600.959,72123.16,101210.84,901242.336
AUT,2017,159132.31,12730.863,532879.0,4499.7744,71288.49,101819.53,882349.9674
AUT,2018,147119.86,11516.296,491210.7,4177.093,70523.71,98096.69,822644.3489999999
AUT,2019,138134.11,11091.776,504018.62,3964.3054,70626.35,97908.89,825744.0514
AUT,2020,117725.21,10375.344,480228.53,3684.3047,70632.83,100614.0,783260.2187
AZE,2001,85934.805,103369.586,74643.48,4699.8657,53551.633,90204.65,412404.01970000006
AZE,2002,84110.44,93382.305,76528.98,4784.7812,55310.582,90483.47,404600.55819999997
AZE,2003,89554.75,121853.51,86450.97,4724.874,57903.105,91861.64,452348.849
AZE,2004,91666.516,90943.8,89481.914,5263.5107,57798.254,92462.06,427616.0547
AZE,2005,98770.8,107841.555,99404.02,5539.0107,58962.76,104191.11,474709.2557
AZE,2006,100538.72,83862.3,113543.15,5358.6763,60868.96,120913.04,485084.84630000003
AZE,2007,86704.51,74538.2,116902.914,4931.5957,61542.812,137575.3,482195.3317
AZE,2008,94982.375,45176.93,131653.92,5546.238,64321.95,147517.14,489198.553
AZE,2009,79024.16,23267.676,117694.91,5130.9883,64817.336,153103.98,443039.0503
AZE,2010,79447.37,12626.976,122539.38,5562.852,64647.85,154873.02,439697.448
AZE,2011,88657.16,19667.8,134514.53,5965.95,65745.695,150843.44,465394.575
AZE,2012,94678.29,22300.34,144826.12,6114.1704,66567.516,150672.92,485159.35640000005
AZE,2013,98222.17,17054.39,147942.14,6599.7407,67736.625,154435.0,491990.06570000004
AZE,2014,97843.414,13069.905,150323.86,6516.7656,71409.2,154057.03,493220.1746
AZE,2015,87319.914,32166.3,138485.14,6011.901,71131.65,152714.8,487829.705
AZE,2016,83329.29,46148.777,127944.266,5654.9585,70798.484,151222.55,485098.3255
AZE,2017,91708.14,28321.26,130160.625,6158.9614,72166.625,149238.86,477754.4714
AZE,2018,97799.88,14256.532,132444.14,6548.023,72809.94,147999.12,471857.635
AZE,2019,100611.3,15383.46,132480.39,6539.1606,73483.56,149135.52,477633.39060000004
AZE,2020,91796.0,16629.904,119743.82,6076.7876,73949.75,146434.81,454631.07159999997
BHS,2001,31144.08,10268.982,46625.57,80.92618,1312.3552,8873.307,98305.22038000001
BHS,2002,28775.992,2713.0598,39901.023,68.315056,1351.193,8199.386,81008.968856
BHS,2003,23112.033,2772.4028,30112.719,65.387924,1436.036,6764.8735,64263.45222400001
BHS,2004,26322.238,3180.0264,35303.098,68.22856,1501.2809,7068.3394,73443.21126
BHS,2005,24953.42,2938.3247,34105.59,66.13562,1503.169,6896.8022,70463.44152
BHS,2006,26412.291,2866.9773,32349.617,66.840515,1562.6738,7079.1055,70337.50511499999
BHS,2007,29028.203,3077.1052,34966.05,67.21849,1590.9991,7452.5405,76182.11629
BHS,2008,26757.893,2229.9807,33565.25,56.552486,1592.1567,7292.4395,71494.272386
BHS,2009,25528.242,3616.9028,28948.344,73.40021,1567.6194,6689.2773,66423.78571
BHS,2010,31443.406,5110.056,28529.81,95.95779,1577.674,6989.7046,73746.60839
BHS,2011,23837.58,2300.9297,29162.84,54.10857,1581.253,7149.4185,64086.12977
BHS,2012,27489.943,2665.6516,30893.25,57.50571,1614.6423,7597.09,70318.08261
BHS,2013,26344.568,2638.1553,30277.148,55.229668,1624.2401,7516.162,68455.503068
BHS,2014,25173.84,2462.6445,28479.467,52.66345,1626.0736,7451.1343,65245.82285
BHS,2015,25730.371,2541.432,29093.588,52.95117,1677.7249,7471.2847,66567.35177000001
BHS,2016,25269.463,2524.6108,28052.24,52.31976,1690.7501,7329.932,64919.31566
BHS,2017,24654.736,2621.2742,27670.584,53.283985,1682.6523,7277.557,63960.087485000004
BHS,2018,25033.424,2587.2932,27804.336,53.701237,1697.5353,7308.5483,64484.838037
BHS,2019,24628.48,2505.2278,27838.727,53.992657,1713.0787,7308.614,64048.120157000005
BHS,2020,22400.814,2370.4143,23615.725,47.623955,1708.7509,6625.9077,56769.23585499999
BHR,2001,41873.746,22968.385,198105.81,257.67172,1738.2291,70720.2,335664.04182
BHR,2002,44096.543,23454.697,199966.62,301.2901,1846.6151,70172.74,339838.50519999996
BHR,2003,45723.99,24379.344,203069.12,323.99997,1854.1166,69783.09,345133.66057000007
BHR,2004,46330.52,24907.008,204754.86,354.17697,1676.4094,68865.164,346888.13836999994
BHR,2005,54396.016,34899.945,236263.19,451.91653,1624.7843,67973.875,395609.72683
BHR,2006,55461.11,50672.91,245448.61,456.15347,1762.5728,62947.363,416748.71927000006
BHR,2007,54397.336,45605.95,240582.2,481.38074,1725.6415,58716.71,401509.2182400001
BHR,2008,55786.535,38966.926,239176.94,510.30612,1781.7877,54913.504,391135.99882000004
